"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"258","Haji Bunder Rd","621","Everest World","3/1/2020 - 3/31/2020, Every day, Daily Average",3077,2439,3881
"258","Haji Bunder Rd","623","Pushp Sindhu - Saroj Road","3/1/2020 - 3/31/2020, Every day, Daily Average",2995,2488,3604
"258","Haji Bunder Rd","624","0, Dargah Rd, Haji Ali, Breach Candy, Cumballa Hill","3/1/2020 - 3/31/2020, Every day, Daily Average",1692,1273,2248
"258","Haji Bunder Rd","625","0, Khan Abdul Gaffar Khan Road, Police Camp, Worli Sea Face, Worli","3/1/2020 - 3/31/2020, Every day, Daily Average",2654,1763,3993
"258","Haji Bunder Rd","626","Ram Building","3/1/2020 - 3/31/2020, Every day, Daily Average",2694,2120,3422
"258","Haji Bunder Rd","629","0, Station Road, Sen Nagar, Santacruz East","3/1/2020 - 3/31/2020, Every day, Daily Average",2008,1531,2633
"258","Haji Bunder Rd","630","Rajiv Gandhi Jogers Park","3/1/2020 - 3/31/2020, Every day, Daily Average",2102,1643,2688
"258","Haji Bunder Rd","631","Marine Lines Flyover","3/1/2020 - 3/31/2020, Every day, Daily Average",950,681,1324
"258","Haji Bunder Rd","632","Malet Bandar Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",211,153,289
"258","Haji Bunder Rd","633","T-39, Lokhandwala Complex Rd, SV Patel Nagar, Andheri West","3/1/2020 - 3/31/2020, Every day, Daily Average",3887,3047,4958
"258","Haji Bunder Rd","634","0, Bandar Kurla Complex Rd, Kala Nagar, Bandra East","3/1/2020 - 3/31/2020, Every day, Daily Average",1483,1160,1894
"258","Haji Bunder Rd","635","0, Station Road, Wing F, Sector 8, Kharghar","3/1/2020 - 3/31/2020, Every day, Daily Average",2714,2197,3352
"258","Haji Bunder Rd","636","0, SG Barve Marg, Sindhi Society, Chembur East","3/1/2020 - 3/31/2020, Every day, Daily Average",1261,937,1696
"258","Haji Bunder Rd","637","Vishwakarma Jeevandip Bungalow 2","3/1/2020 - 3/31/2020, Every day, Daily Average",3001,2268,3970
"258","Haji Bunder Rd","638","C/209, Raheja Vihar Circular Rd, Hillside Cooperative Society, Raheja Vihar, Chandivali, Powai","3/1/2020 - 3/31/2020, Every day, Daily Average",2672,2105,3390
"258","Haji Bunder Rd","639","Belle View, PLOT NO. 8/10, sector -12, 2, Panvel Matheran Rd, Sector 12, New Panvel East, Panvel","3/1/2020 - 3/31/2020, Every day, Daily Average",4071,3140,5277
